feature,mean,std,variance,min,max,range,median,q25,q75,iqr,lag_1_correlation,lag_2_correlation,lag_3_correlation,lag_4_correlation,lag_5_correlation,serial_correlation,skewness,kurtosis,is_normal,autocorr_lag1,autocorr_lag2,autocorr_lag3,trend,rolling_mean_diff,rolling_std_diff
Raw_Flow,2686.633546977175,232.93863325812777,54260.40686416455,1553.272,3822.524,2269.252,2703.665,2513.75,2838.75,325.0,0.9922942931414166,0.9897511007838277,0.9864238421843974,0.9825321532854571,0.9783166549013608,0.9922942931414166,0.00640096366646161,1.0806269544428702,0.0,0.9922938049761918,0.9897502031708171,0.9864225089280944,4.4249257557265143e-05,-60.20021618450528,-0.14964815894649064
Raw_temperature,13.467853335324673,5.0540637245416855,25.543560131728174,5.1,23.33,18.229999999999997,12.5,8.981,18.244,9.263,0.9999807070345488,0.9999761323172067,0.9999779558830252,0.999979613781842,0.9999749782391992,0.9999807070345488,0.23255075582051493,-1.3012524780143635,0.0,0.9999804679718066,0.9999756540902629,0.999977241976146,3.449875928841715e-07,0.37146943345234185,0.5833099641054922
Raw_electrical conductivity,188.99496902732523,35.59429842619425,1266.9540804529745,91.8276147708942,276.2180016515277,184.39038688063349,193.6211340206185,164.4960362400906,215.5450787910101,51.049042550919495,0.9993124243223335,0.9987629206733016,0.9982752922636751,0.997844598409655,0.9974551538527175,0.9993124243223335,-0.4082993713333604,-0.5337090291885449,0.0,0.9993120555961131,0.9987621861697027,0.9982741988271757,-3.613120687283635e-06,4.9082318084226415,4.213571963369084
Raw_turbidity,2.626529847562172,4.396237363658981,19.326902957631273,0.206,60.20600000000001,60.00000000000001,1.25,0.98,1.931,0.9510000000000001,0.9997087771161276,0.999612317564082,0.9995855432468626,0.9995417158062,0.9994984014544317,0.9997087771161276,5.175664399667883,36.09868370591098,0.0,0.9997087580690023,0.9996122797202439,0.9995854866059909,-7.733148141948639e-08,-0.014270209178118609,-1.7309594137830886
Raw_alkalinity,35.515682424374724,8.15147262045011,66.44650588194776,10.319,57.5,47.181,35.75,30.9,41.73,10.829999999999998,0.9998070453803923,0.999621409797608,0.9994361378623515,0.9992509956737046,0.9990665723076995,0.9998070453803923,-0.7045299166030593,0.5309251157066419,0.0,0.9998070313216552,0.9996213816619626,0.9994360956275201,-4.667195268683581e-06,8.305091814648573,-0.8969382888514748
Raw_pH,7.1851162662013515,0.27536904024336445,0.07582810832455168,6.32,7.795,1.4749999999999996,7.217,6.96,7.391,0.43100000000000005,0.9989664311351015,0.9988318194437021,0.99875149884693,0.9986832418055371,0.998624953619897,0.9989664311351015,-0.25218309433190556,-0.6099233472553309,0.0,0.9989662613516608,0.9988314811232276,0.9987509909314092,-1.2887500197348857e-08,-0.0064267390225003496,0.06278628107420356
Raw_TOC,2.1981583183324522,0.5333964109785401,0.28451173124478757,0.6476167,3.865,3.2173833000000003,2.0785333,1.7899,2.591,0.8011000000000001,0.9991328242756939,0.9983460881737536,0.9976107992525278,0.9969153860717086,0.9963503150404538,0.9991328242756939,0.6368136586576942,-0.10271820617217742,0.0,0.9991326592483699,0.9983457583788948,0.9976103049244602,2.6520678495773715e-07,-0.4547214858106803,-0.10230460343888464
PAC,15.406468857174689,5.162015363193081,26.646402609841402,6.427171783000001,45.92800000000002,39.50082821700002,13.94698768,11.97207679,16.32,4.347923210000001,0.9936342724333705,0.9927642727119195,0.9939113450000369,0.9930382490866896,0.992456534442057,0.9936342724333705,1.8181828360137824,4.110495341812961,0.0,0.9936341212277694,0.9927639660191344,0.9939108553617925,2.247194887870113e-06,-3.3882340649487137,-1.8959786636950482
Pre_chlorine,1.282884033876616,0.45481971277757777,0.20686097113107832,0.568,3.11,2.542,1.015702109,1.004,1.5,0.496,0.9994576140987966,0.9993177446565504,0.9991813358716337,0.9990361767457164,0.9988936895819459,0.9994576140987966,1.5375253682982761,1.6536026420794059,0.0,0.9994568007601224,0.9993161497342313,0.99917895957925,-2.374982463094891e-08,-0.0017694112210664414,-0.06890164981254099
Sed_chlorine,0.9821198196715513,0.25527400926974797,0.06516481980865137,0.2565,2.299,2.0425,0.968,0.824,1.15,0.32599999999999996,0.9996237388832743,0.999002048791216,0.9981983172856848,0.9972755851703021,0.9962822035090395,0.9996237388832743,0.1912626541277339,0.041444203759164466,0.0,0.999623559845847,0.9990016896218334,0.9981977769985275,-2.5841588992151666e-08,0.02190589604877502,0.10196568905351597
Sed_turbidity,0.28561721624478664,0.16017129458774385,0.02565484360991382,0.05,1.85,1.8,0.2379999999999999,0.2014999999999999,0.31,0.1085000000000001,0.9988862988307753,0.997544632306086,0.9960939281560418,0.9946750653256379,0.9932848922121187,0.9988862988307753,2.435263992409605,7.8418258102701515,0.0,0.9988862971580663,0.9975446289651481,0.9960939232037072,-3.6354576768794685e-08,0.06463186464592913,0.038485226944664275
Mid_chlorine,0.9373829424345242,0.2926146672437445,0.08562334348616732,0.0789999999999999,3.25,3.1710000000000003,0.875,0.744555119,1.203,0.458444881,0.9978401911612252,0.9970154856044704,0.9963207665123344,0.9956969662057321,0.9950713380806968,0.9978401911612252,0.26300857416120155,-0.25671071017234093,0.0,0.9978393421327844,0.9970138154306748,0.9963182086894046,-8.341134227982428e-08,0.11766347383731013,0.06419324044220776
